Race,Number,Category,Year
Arab,0,Offender,2018
Asian/Pacific Islander,99,Offender,2018
Black,1506,Offender,2018
Latino,477,Offender,2018
Multiple Races,432,Offender,2018
Native American,60,Offender,2018
White,3359,Offender,2018
Arab,100,Victim,2018
Asian/Pacific Islander,203,Victim,2018
Black,2426,Victim,2018
Latino,671,Victim,2018
Multiple Races,174,Victim,2018
Native American,209,Victim,2018
White,1038,Victim,2018
Arab,0,Offender,2017
Asian/Pacific Islander,45,Offender,2017
Black,1359,Offender,2017
Latino,454,Offender,2017
Multiple Races,475,Offender,2017
Native American,49,Offender,2017
White,3227,Offender,2017
Arab,131,Victim,2017
Asian/Pacific Islander,183,Victim,2017
Black,2458,Victim,2017
Latino,552,Victim,2017
Multiple Races,229,Victim,2017
Native American,321,Victim,2017
White,864,Victim,2017
Arab,0,Offender,2016
Asian/Pacific Islander,53,Offender,2016
Black,1508,Offender,2016
Latino,339,Offender,2016
Multiple Races,447,Offender,2016
Native American,45,Offender,2016
White,2671,Offender,2016
Arab,57,Victim,2016
Asian/Pacific Islander,146,Victim,2016
Black,2220,Victim,2016
Latino,483,Victim,2016
Multiple Races,190,Victim,2016
Native American,169,Victim,2016
White,909,Victim,2016
Arab,0,Offender,2015
Asian/Pacific Islander,57,Offender,2015
Black,1336,Offender,2015
Latino,209,Offender,2015
Multiple Races,499,Offender,2015
Native American,52,Offender,2015
White,2657,Offender,2015
Arab,48,Victim,2015
Asian/Pacific Islander,142,Victim,2015
Black,2201,Victim,2015
Latino,392,Victim,2015
Multiple Races,160,Victim,2015
Native American,141,Victim,2015
White,789,Victim,2015
Asian/Pacific Islander,41,Offender,2014
Black,1203,Offender,2014
Latino,63,Offender,2014
Multiple Races,359,Offender,2014
Native American,58,Offender,2014
White,2699,Offender,2014
Asian/Pacific Islander,205,Victim,2014
Black,2022,Victim,2014
Latino,389,Victim,2014
Multiple Races,118,Victim,2014
Native American,148,Victim,2014
White,734,Victim,2014
Asian/Pacific Islander,43,Offender,2013
Black,1410,Offender,2013
Latino,12,Offender,2013
Multiple Races,407,Offender,2013
Native American,49,Offender,2013
White,3046,Offender,2013
Asian/Pacific Islander,167,Victim,2013
Black,2371,Victim,2013
Latino,376,Victim,2013
Multiple Races,112,Victim,2013
Native American,159,Victim,2013
White,754,Victim,2013
Asian/Pacific Islander,47,Offender,2012
Black,1242,Offender,2012
Latino,0,Offender,2012
Multiple Races,471,Offender,2012
Native American,49,Offender,2012
White,2909,Offender,2012
Asian/Pacific Islander,143,Victim,2012
Black,2295,Victim,2012
Latino,514,Victim,2012
Multiple Races,151,Victim,2012
Native American,115,Victim,2012
White,763,Victim,2012
Asian/Pacific Islander,83,Offender,2011
Black,1195,Offender,2011
Latino,0,Offender,2011
Multiple Races,406,Offender,2011
Native American,46,Offender,2011
White,3384,Offender,2011
Asian/Pacific Islander,175,Victim,2011
Black,2619,Victim,2011
Latino,534,Victim,2011
Multiple Races,188,Victim,2011
Native American,70,Victim,2011
White,593,Victim,2011
Asian/Pacific Islander,65,Offender,2010
Black,1104,Offender,2010
Latino,0,Offender,2010
Multiple Races,534,Offender,2010
Native American,61,Offender,2010
White,3522,Offender,2010
Asian/Pacific Islander,203,Victim,2010
Black,2765,Victim,2010
Latino,747,Victim,2010
Multiple Races,237,Victim,2010
Native American,47,Victim,2010
White,697,Victim,2010
Asian/Pacific Islander,45,Offender,2009
Black,1150,Offender,2009
Latino,0,Offender,2009
Multiple Races,453,Offender,2009
Native American,60,Offender,2009
White,3885,Offender,2009
Asian/Pacific Islander,149,Victim,2009
Black,2902,Victim,2009
Latino,692,Victim,2009
Multiple Races,251,Victim,2009
Native American,87,Victim,2009
White,668,Victim,2009
Asian/Pacific Islander,79,Offender,2008
Black,1399,Offender,2008
Latino,0,Offender,2008
Multiple Races,409,Offender,2008
Native American,51,Offender,2008
White,4229,Offender,2008
Asian/Pacific Islander,170,Victim,2008
Black,3596,Victim,2008
Latino,792,Victim,2008
Multiple Races,276,Victim,2008
Native American,63,Victim,2008
White,829,Victim,2008
